	Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	
[H H1 V] \-> (H) (H1) V		0	1	0	0	0	1	0	0	1	1	3	1	1	0	1	0	1
[H H1 V:] \-> (H) (H1) V:		0	1	0	0	0	1	1	0	1	1	3	1	1	0	1	0	1
[H H1 VC] \-> (H) (H1) VC		0	1	0	0	0	1	1	0	1	1	3	1	1	0	1	0	1
[H H1 V:C] \-> (H) (H1) V:C		0	1	0	0	0	1	1	0	1	1	3	1	1	0	1	0	1
[H H1 H V:] \-> (H) (H1) H V:		0	2	0	0	0	1	2	0	1	1	5	1	2	0	1	0	1
[H H1 H V:] \-> H (H1) (H) V:		0	2	0	0	0	0	2	0	1	3	3	1	2	1	1	0	1
[H H H1 V:] \-> H (H) (H1) V:		0	2	0	0	0	0	2	0	1	3	3	2	1	1	1	0	1
[H H1 H V:C] \-> (H) (H1) H V:C		0	2	0	0	0	1	2	0	1	1	5	1	2	0	1	0	1
[H H1 H V:C] \-> H (H1) (H) V:C		0	2	0	0	0	0	2	0	1	3	3	1	2	1	1	0	1
[H H H1 V:C] \-> H (H) (H1) V:C		0	2	0	0	0	0	2	0	1	3	3	2	1	1	1	0	1
[H H1 H VC] \-> (H) (H1) H VC		0	2	0	0	0	1	2	0	1	1	5	1	2	0	1	0	1
[H H1 H VC] \-> H (H1) (H) VC		0	2	0	0	0	0	2	0	1	3	3	1	2	1	1	0	1
[H H H1 VC] \-> H (H) (H1) VC		0	2	0	0	0	0	2	0	1	3	3	2	1	1	1	0	1
[H H1 H V] \-> (H) (H1) H V		0	2	0	0	0	1	1	0	1	1	5	1	2	0	1	0	1
[H H1 H V] \-> H (H1) (H) V		0	2	0	0	0	0	1	0	1	3	3	1	2	1	1	0	1
[H H H1 V] \-> H (H) (H1) V		0	2	0	0	0	0	1	0	1	3	3	2	1	1	1	0	1
[H H1 L V:] \-> (H) (H1) L V:		0	2	0	0	0	1	1	0	1	1	5	1	2	0	1	0	1
[H H1 L V:C] \-> (H) (H1) L V:C		0	2	0	0	0	1	1	0	1	1	5	1	2	0	1	0	1
[H H1 L VC] \-> (H) (H1) L VC		0	2	0	0	0	1	1	0	1	1	5	1	2	0	1	0	1
[H H1 L V] \-> (H) (H1) L V		0	2	0	0	0	1	0	0	1	1	5	1	2	0	1	0	1
[L H H1 V:] \-> L (H) (H1) V:		0	2	0	0	0	0	1	0	1	3	3	2	1	1	1	0	1
[L H H1 V:C] \-> L (H) (H1) V:C		0	2	0	0	0	0	1	0	1	3	3	2	1	1	1	0	1
[L H H1 V] \-> L (H) (H1) V		0	2	0	0	0	0	0	0	1	3	3	2	1	1	1	0	1
[L H H1 VC] \-> L (H) (H1) VC		0	2	0	0	0	0	1	0	1	3	3	2	1	1	1	0	1
[L L H1 V:] \-> (L L) (H1) V:		0	1	0	0	0	1	1	1	1	2	3	2	1	0	1	0	1
[L L H1 V:C] \-> (L L) (H1) V:C		0	1	0	0	0	1	1	1	1	2	3	2	1	0	1	0	1
[L L H1 V] \-> (L L) (H1) V		0	1	0	0	0	1	0	1	1	2	3	2	1	0	1	0	1
[L L H1 VC] \-> (L L) (H1) VC		0	1	0	0	0	1	1	1	1	2	3	2	1	0	1	0	1
[H H1 H H V:] \-> (H) (H1) H H V:		0	3	0	0	0	1	3	0	1	1	7	1	3	0	1	0	1
[H H1 H H V:] \-> H (H1) (H) H V:		0	3	0	0	0	0	3	0	1	3	5	1	3	1	1	0	1
[H H H1 H V:] \-> H (H) (H1) H V:		0	3	0	0	0	0	3	0	1	3	5	2	2	1	1	0	1
[H H H1 H V:] \-> H H (H1) (H) V:		0	3	0	0	0	0	3	0	1	5	3	2	2	1	1	0	1
[H H H H1 V:] \-> H H (H) (H1) V:		0	3	0	0	0	0	3	0	1	5	3	3	1	1	1	0	1
[H H1 H H VC] \-> (H) (H1) H H VC		0	3	0	0	0	1	3	0	1	1	7	1	3	0	1	0	1
[H H1 H H VC] \-> H (H1) (H) H VC		0	3	0	0	0	0	3	0	1	3	5	1	3	1	1	0	1
[H H H1 H VC] \-> H (H) (H1) H VC		0	3	0	0	0	0	3	0	1	3	5	2	2	1	1	0	1
[H H H1 H VC] \-> H H (H1) (H) VC		0	3	0	0	0	0	3	0	1	5	3	2	2	1	1	0	1
[H H H H1 VC] \-> H H (H) (H1) VC		0	3	0	0	0	0	3	0	1	5	3	3	1	1	1	0	1
[H H1 H H V] \-> (H) (H1) H H V		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 H H V] \-> H (H1) (H) H V		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
