input_shapes	overt_shapes
/L V/	L1 V
/L V/	L V1
/L V:/	L1 V:
/L V:/	L V:1
/L VC/	L1 VC
/L VC/	L V1C
/L V:C/	L1 V:C
/L V:C/	L V:1C
/H V/	H1 V
/H V/	H V1
/H V:/	H1 V:
/H V:/	H V:1
/H VC/	H1 VC
/H VC/	H V1C
/H V:C/	H1 V:C
/H V:C/	H V:1C
/L L V/	L1 L V
/L L V/	L L1 V
/L L V/	L L V1
/L L V:/	L1 L V:
/L L V:/	L L1 V:
/L L V:/	L L V:1
/L L VC/	L1 L VC
/L L VC/	L L1 VC
/L L VC/	L L V1C
/L L V:C/	L1 L V:C
/L L V:C/	L L1 V:C
/L L V:C/	L L V:1C
/L H V/	L1 H V
/L H V/	L H1 V
/L H V/	L H V1
/L H V:/	L1 H V:
/L H V:/	L H1 V:
/L H V:/	L H V:1
/L H VC/	L1 H VC
/L H VC/	L H1 VC
/L H VC/	L H V1C
/L H V:C/	L1 H V:C
/L H V:C/	L H1 V:C
/L H V:C/	L H V:1C
/H L V/	H1 L V
/H L V/	H L1 V
/H L V/	H L V1
/H L V:/	H1 L V:
/H L V:/	H L1 V:
/H L V:/	H L V:1
/H L VC/	H1 L VC
/H L VC/	H L1 VC
/H L VC/	H L V1C
/H L V:C/	H1 L V:C
/H L V:C/	H L1 V:C
/H L V:C/	H L V:1C
/H H V/	H1 H V
/H H V/	H H1 V
/H H V/	H H V1
/H H V:/	H1 H V:
/H H V:/	H H1 V:
/H H V:/	H H V:1
/H H VC/	H1 H VC
/H H VC/	H H1 VC
/H H VC/	H H V1C
/H H V:C/	H1 H V:C
/H H V:C/	H H1 V:C
/H H V:C/	H H V:1C
/H H H V:/	H1 H H V:
/H H H V:/	H H1 H V:
/H H H V:/	H H H1 V:
/H H H V:/	H H H V:1
/H H H V:C/	H1 H H V:C
/H H H V:C/	H H1 H V:C
/H H H V:C/	H H H1 V:C
/H H H V:C/	H H H V:1C
/H H H VC/	H1 H H VC
/H H H VC/	H H1 H VC
/H H H VC/	H H H1 VC
/H H H VC/	H H H V1C
/H H H V/	H1 H H V
/H H H V/	H H1 H V
/H H H V/	H H H1 V
/H H H V/	H H H V1
/H H L V:/	H1 H L V:
/H H L V:/	H H1 L V:
/H H L V:/	H H L1 V:
/H H L V:/	H H L V:1
/H H L V:C/	H1 H L V:C
/H H L V:C/	H H1 L V:C
/H H L V:C/	H H L1 V:C
/H H L V:C/	H H L V:1C
/H H L VC/	H1 H L VC
/H H L VC/	H H1 L VC
/H H L VC/	H H L1 VC
/H H L VC/	H H L V1C
/H H L V/	H1 H L V
/H H L V/	H H1 L V
/H H L V/	H H L1 V
/H H L V/	H H L V1
/H L H V:/	H1 L H V:
/H L H V:/	H L1 H V:
/H L H V:/	H L H1 V:
/H L H V:/	H L H V:1
/H L H V:C/	H1 L H V:C
/H L H V:C/	H L1 H V:C
/H L H V:C/	H L H1 V:C
/H L H V:C/	H L H V:1C
/H L H V/	H1 L H V
/H L H V/	H L1 H V
/H L H V/	H L H1 V
/H L H V/	H L H V1
/H L H VC/	H1 L H VC
/H L H VC/	H L1 H VC
/H L H VC/	H L H1 VC
/H L H VC/	H L H V1C
/H L L V:/	H1 L L V:
/H L L V:/	H L1 L V:
