all_prosodic_shapes	Freq
H H H H V:1	3
H H H H V1C	1
H H H H1 V	5
H H H H1 V:	1
H H H H1 V:C	1
H H H H1 VC	2
H H H L L1 V:	3
H H H L V:1	1
H H H L V:1C	1
H H H L1 V:	2
H H H V:1	12
H H H V:1C	12
H H H V1C	37
H H H1 H V	5
H H H1 H V:	2
H H H1 H VC	4
H H H1 L V:	3
H H H1 L VC	8
H H H1 V	63
H H H1 V:	14
H H H1 V:C	33
H H H1 VC	116
H H L H L1 V	1
H H L H V:1	2
H H L H V:1C	2
H H L H V1C	2
H H L H1 V	15
H H L H1 V:	2
H H L H1 V:C	2
H H L H1 VC	14
H H L L V1C	1
H H L L1 L VC	1
H H L L1 VC	1
H H L V:1	28
H H L V:1C	24
H H L V1C	79
H H L1 H L V:	1
H H L1 H L VC	3
H H L1 H V	5
H H L1 H V:	2
H H L1 H V:C	6
H H L1 H VC	20
H H L1 L V	1
H H L1 L VC	2
H H L1 V	19
H H L1 V:	41
H H L1 V:C	4
H H L1 VC	109
H H V:1	170
H H V:1C	174
H H V1	15
H H V1C	316
H H1 H 	1
H H1 H H V	10
H H1 H H VC	5
H H1 H L H V	1
H H1 H L V	1
H H1 H L V:	1
H H1 H L VC	2
H H1 H V	31
H H1 H V:	24
H H1 H V:C	15
H H1 H VC	89
H H1 L H H V	3
H H1 L H H V:C	1
H H1 L H L V	2
H H1 L H L V:	2
H H1 L H L V:C	1
H H1 L H L VC	13
H H1 L H V	12
H H1 L H V:	5
H H1 L H V:C	7
H H1 L H VC	18
H H1 L L V	3
H H1 L L V:	3
H H1 L L V:C	1
H H1 L L VC	9
H H1 L V	3
H H1 L V:	54
H H1 L V:C	24
H H1 L VC	74
H H1 V	1590
H H1 V:	138
H H1 V:C	350
H H1 VC	1304
H L H H H1 VC	1
H L H H V:1C	4
H L H H V1C	1
H L H H1 V	23
H L H H1 V:C	1
H L H H1 VC	15
H L H L L V:1	1
H L H L V:1	3
H L H L V:1C	7
H L H L V1C	18
H L H L1 V	4
H L H L1 V:	16
H L H L1 VC	46
H L H V:1	82
H L H V:1C	164
H L H V1	3
H L H V1C	209
H L H1 H L V:	1
H L H1 H L VC	2
H L H1 H V	43
H L H1 H V:C	1
H L H1 H VC	3
H L H1 L H V:C	1
H L H1 L H VC	1
H L H1 L V	10
H L H1 L V:	26
H L H1 L V:C	11
H L H1 L VC	137
H L H1 V	183
H L H1 V:	125
H L H1 V:C	85
H L H1 VC	322
H L L H V:1	1
H L L H V1C	1
H L L H1 L H V:C	1
H L L H1 V	25
H L L H1 V:	1
H L L H1 V:C	1
H L L H1 VC	4
H L L L H1 VC	1
H L L L V1C	2
H L L L1 V:	1
H L L L1 VC	4
H L L V:1	18
H L L V:1C	25
H L L V1C	21
H L L1 H L V:	1
H L L1 H L VC	8
H L L1 H V	2
H L L1 H V:C	5
H L L1 H VC	2
H L L1 L V:	1
H L L1 V	1
H L L1 V:	36
H L L1 V:C	6
H L L1 VC	124
H L V:1	669
H L V:1C	213
H L V1	28
H L V1C	1013
H L1 H H L V:	1
H L1 H H L VC	1
H L1 H H V	44
H L1 H H V:	1
H L1 H H VC	18
H L1 H L H VC	1
H L1 H L L V:C	1
H L1 H L V	19
H L1 H L V:	131
