V1	V2	initial	peninitial	final	penult	antepenult	DTS_L	DTS_R	DTO_L	DTO_R	DTS_R_FSM	DTO_R_FSM	C_Lat_Rule	C_Skt_Rule	Initial_iambs	right_trochees	DTS_L_extrametrical_above_2
/L V/	L1 V	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
/L V/	L V1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0
/L V:/	L1 V:	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0
/L V:/	L V:1	0	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1
/L VC/	L1 VC	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0
/L VC/	L V1C	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1
/L V:C/	L1 V:C	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0
/L V:C/	L V:1C	0	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1
/H V/	H1 V	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
/H V/	H V1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
/H V:/	H1 V:	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1
/H V:/	H V:1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0
/H VC/	H1 VC	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1
/H VC/	H V1C	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0
/H V:C/	H1 V:C	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1
/H V:C/	H V:1C	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0
/L L V/	L1 L V	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1
/L L V/	L L1 V	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0
/L L V/	L L V1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
/L L V:/	L1 L V:	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1
/L L V:/	L L1 V:	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0
/L L V:/	L L V:1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0
/L L VC/	L1 L VC	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1
